"","x"
"626","good"
"627","good"
"628","good"
"629","good"
"630","good"
"631","bad"
"632","good"
"633","good"
"634","bad"
"635","bad"
"636","good"
"637","bad"
"638","good"
"639","good"
"640","good"
"641","good"
"642","bad"
"643","bad"
"644","good"
"645","good"
"646","bad"
"647","bad"
"648","bad"
"649","good"
"650","good"
"651","good"
"652","bad"
"653","good"
"654","good"
"655","good"
"656","good"
"657","good"
"658","good"
"659","good"
"660","bad"
"661","good"
"662","good"
"663","bad"
"664","good"
"665","good"
"666","good"
"667","bad"
"668","bad"
"669","good"
"670","bad"
"671","good"
"672","good"
"673","good"
"674","good"
"675","bad"
"676","good"
"677","good"
"678","good"
"679","bad"
"680","good"
"681","bad"
"682","good"
"683","good"
"684","good"
"685","good"
"686","good"
"687","good"
"688","good"
"689","good"
"690","good"
"691","good"
"692","good"
"693","good"
"694","bad"
"695","bad"
"696","good"
"697","good"
"698","good"
"699","good"
"700","bad"
"701","bad"
"702","good"
"703","good"
"704","good"
"705","good"
"706","good"
"707","good"
"708","good"
"709","good"
"710","good"
"711","good"
"712","good"
"713","bad"
"714","bad"
"715","good"
"716","good"
"717","good"
"718","good"
"719","good"
"720","good"
"721","good"
"722","good"
"723","good"
"724","bad"
"725","good"
"726","good"
"727","bad"
"728","bad"
"729","bad"
"730","bad"
"731","good"
"732","bad"
"733","good"
"734","good"
"735","bad"
"736","good"
"737","bad"
"738","bad"
"739","good"
"740","good"
"741","bad"
"742","good"
"743","good"
"744","bad"
"745","good"
"746","good"
"747","good"
"748","bad"
"749","bad"
"750","good"
"751","good"
"752","good"
"753","good"
"754","good"
"755","good"
"756","good"
"757","good"
"758","bad"
"759","good"
"760","bad"
"761","good"
"762","bad"
"763","good"
"764","good"
"765","good"
"766","good"
"767","bad"
"768","good"
"769","good"
"770","bad"
"771","good"
"772","good"
"773","bad"
"774","good"
"775","good"
"776","good"
"777","good"
"778","good"
"779","bad"
"780","bad"
"781","good"
"782","good"
"783","bad"
"784","good"
"785","bad"
"786","bad"
"787","bad"
"788","good"
"789","good"
"790","good"
"791","good"
"792","good"
"793","good"
"794","good"
"795","good"
"796","good"
"797","good"
"798","good"
"799","good"
"800","bad"
