"","checking_status0<=X<200","checking_status>=200","checking_statusno checking","duration","credit_historyall paid","credit_historyexisting paid","credit_historydelayed previously","credit_historycritical/other existing credit","purposeused car","purposefurniture/equipment","purposeradio/tv","purposeeducation","purposebusiness","purposeother","log_credit_amount","savings_status100<=X<500","savings_status500<=X<1000","savings_status>=1000","savings_statusno known savings","employment<1","employment1<=X<4","employment4<=X<7","employment>=7","installment_commitment","personal_statusfemale div/dep/mar","personal_statusmale single","personal_statusmale mar/wid","other_partiesco applicant","other_partiesguarantor","residence_since","property_magnitudelife insurance","property_magnitudecar","property_magnitudeno known property","age","other_payment_plansstores","other_payment_plansnone","housingown","housingfor free","existing_credits","jobunskilled resident","jobskilled","jobhigh qualif/self emp/mgmt","num_dependents","own_telephoneyes"
"45",1,0,0,0.117647058823529,0,1,0,0,0,0,1,0,0,0,0.260403408487999,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0.666666666666667,0,0,0,0.839285714285714,0,1,1,0,0,1,0,0,0,0
"47",0,0,0,0.294117647058824,0,0,0,1,0,0,0,0,0,0,0.364604885046097,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0.732142857142857,0,1,1,0,0.333333333333333,1,0,0,0,0
"48",0,1,0,0.117647058823529,0,1,0,0,0,0,1,0,0,0,0.469330714157301,0,0,0,0,0,1,0,0,0.333333333333333,1,0,0,0,0,0.333333333333333,0,1,0,0.446428571428571,0,1,0,0,0,1,0,0,0,1
"49",0,1,0,0.0294117647058824,0,1,0,0,0,0,0,0,0,0,0.242420252926165,0,0,1,0,1,0,0,0,0.333333333333333,0,0,1,0,0,0.333333333333333,0,0,0,0.142857142857143,0,1,1,0,0,0,0,0,0,0
"50",1,0,0,0.470588235294118,0,1,0,0,0,0,1,0,0,0,0.686954286363402,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0.196428571428571,0,1,1,0,0,0,0,1,0,1
"51",0,0,0,0.338235294117647,0,1,0,0,0,0,1,0,0,0,0.608092078933496,0,0,0,0,0,1,0,0,0.666666666666667,0,1,0,0,0,0.333333333333333,0,1,0,0.142857142857143,0,1,1,0,0,0,0,1,0,0
"52",0,0,0,0.205882352941176,0,1,0,0,0,1,0,0,0,0,0.531929248991764,0,0,0,0,0,1,0,0,0.333333333333333,0,1,0,0,0,0.333333333333333,0,1,0,0.0535714285714286,0,1,1,0,0,0,1,0,0,0
"53",0,0,1,0.25,0,0,0,1,0,1,0,0,0,0,0.514883474178001,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0.0714285714285714,0,1,1,0,0,0,1,0,0,1
"55",0,0,0,0.0294117647058824,0,0,0,1,0,0,0,0,0,0,0.287322386441024,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0.357142857142857,0,1,1,0,0.333333333333333,0,1,0,0,1
"56",0,0,1,0.117647058823529,0,0,0,1,0,0,0,0,0,0,0.233390873045168,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0.666666666666667,0,1,0,0.571428571428571,0,1,1,0,0.333333333333333,0,1,0,0,1
"57",0,0,0,0.470588235294118,0,0,0,1,0,1,0,0,0,0,0.713336091160436,0,0,0,0,0,1,0,0,0.666666666666667,0,1,0,0,1,0.333333333333333,1,0,0,0.160714285714286,0,1,1,0,0.333333333333333,0,1,0,0,0
"58",0,0,0,0.161764705882353,0,1,0,0,0,0,0,0,0,0,0.401146002738827,0,0,0,0,0,1,0,0,0.333333333333333,1,0,0,0,0,1,0,1,0,0.160714285714286,0,1,0,0,0,0,1,0,0,0
"59",0,0,1,0.205882352941176,0,0,0,1,0,0,1,0,0,0,0.429071236625938,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0.482142857142857,0,1,1,0,0.333333333333333,0,1,0,0,0
"60",0,0,1,0.0294117647058824,0,1,0,0,0,0,1,0,0,0,0.391500405897427,1,0,0,0,0,0,0,1,0.333333333333333,0,1,0,0,0,1,0,0,1,0.410714285714286,0,0,0,1,0,0,1,0,1,1
"61",0,0,1,0.0882352941176471,0,1,0,0,0,0,1,0,0,0,0.474587242648367,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0.339285714285714,0,1,1,0,0,0,1,0,0,1
"62",0,1,0,0.470588235294118,0,1,0,0,0,0,1,0,0,0,0.733123679559788,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0.0892857142857143,0,1,1,0,0,0,1,0,0,0
"63",1,0,0,0.294117647058824,0,0,0,1,1,0,0,0,0,0,0.798851174904584,0,0,1,0,0,0,0,1,0.333333333333333,1,0,0,0,0,1,0,0,1,0.178571428571429,0,1,0,0,0,0,1,0,0,0
"65",0,0,0,0.117647058823529,0,1,0,0,0,1,0,0,0,0,0.380170997543757,0,0,0,0,0,1,0,0,0.333333333333333,1,0,0,0,0,1,0,1,0,0.0178571428571429,0,1,0,0,0,0,1,0,0,0
"66",0,0,0,0.0735294117647059,0,0,0,1,0,0,0,0,0,1,0.381256887097554,1,0,0,0,0,0,0,1,0.666666666666667,0,1,0,0,1,1,0,0,0,0.517857142857143,0,1,1,0,0.333333333333333,0,1,0,1,0
"69",0,0,0,0.294117647058824,0,1,0,0,0,0,1,0,0,0,0.380170997543757,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0.333333333333333,0,1,0,0.232142857142857,0,1,1,0,0,1,0,0,0,0
"70",0,0,1,0.0294117647058824,0,0,0,1,0,0,1,0,0,0,0.471423099640379,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.333333333333333,0,0,0,0.267857142857143,0,1,1,0,0.333333333333333,1,0,0,1,0
"71",0,0,1,0.294117647058824,0,0,0,1,0,0,1,0,0,0,0.567751683278346,1,0,0,0,0,0,0,1,0.666666666666667,0,1,0,0,0,1,0,0,0,0.303571428571429,0,1,1,0,0,0,1,0,1,1
"72",0,0,1,0.205882352941176,0,0,0,1,0,0,0,0,0,0,0.334849387180488,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0.196428571428571,0,1,1,0,0.333333333333333,0,1,0,0,0
"73",0,0,1,0.161764705882353,0,1,0,0,0,0,0,0,0,1,0.376514303912887,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0.666666666666667,1,0,0,0.303571428571429,0,1,1,0,0.333333333333333,0,1,0,0,1
"74",1,0,0,0.0882352941176471,0,1,0,0,0,0,0,0,0,0,0.784954513078629,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0,0,0,1,0,0,1,0.910714285714286,0,0,0,1,0,0,0,1,0,1
"75",0,0,1,0.470588235294118,0,1,0,0,0,0,0,0,0,0,0.300209216277545,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0.303571428571429,0,1,1,0,0,0,1,0,0,0
"76",0,0,1,0.0294117647058824,0,1,0,0,0,1,0,0,0,0,0.576180454664003,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333333333333333,0,1,0,0.232142857142857,0,1,1,0,0,0,1,0,0,1
"77",0,0,0,0.205882352941176,0,1,0,0,0,1,0,0,0,0,0.351026657634669,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.333333333333333,0,1,0,0.25,0,1,1,0,0,0,1,0,0,0
"78",1,0,0,0.102941176470588,0,1,0,0,0,1,0,0,0,0,0.42833505075135,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0178571428571429,0,1,1,0,0,0,1,0,0,0
"79",0,0,1,0.294117647058824,0,1,0,0,0,1,0,0,0,0,0.643162143011614,0,0,0,0,0,0,1,0,0.333333333333333,1,0,0,0,0,1,1,0,0,0.107142857142857,0,1,0,0,0,0,1,0,0,1
"80",0,0,1,0.294117647058824,0,0,0,1,0,0,1,0,0,0,0.528311773231372,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0.607142857142857,0,1,1,0,0.333333333333333,0,1,0,0,0
"81",1,0,0,0.294117647058824,0,0,0,1,0,0,0,0,1,0,0.475913066482511,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.214285714285714,0,1,1,0,0.333333333333333,0,1,0,0,1
"82",0,0,0,0.161764705882353,0,0,0,0,0,0,0,0,0,0,0.310469081058386,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.666666666666667,0,1,0,0.25,0,1,0,0,0.333333333333333,0,1,0,1,0
"83",0,0,1,0.117647058823529,0,1,0,0,0,1,0,0,0,0,0.259490807224388,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.125,0,1,1,0,0,0,1,0,0,1
"84",1,0,0,0.294117647058824,0,0,1,0,0,1,0,0,0,0,0.490922204564695,0,0,0,0,0,0,0,0,0.666666666666667,1,0,0,0,0,0.333333333333333,1,0,0,0.267857142857143,0,1,1,0,0,0,0,1,0,1
"87",0,0,1,0.382352941176471,1,0,0,0,1,0,0,0,0,0,0.790520016764143,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.607142857142857,0,0,1,0,0,0,0,1,0,1
"88",0,0,0,0.117647058823529,0,1,0,0,0,1,0,0,0,0,0.542546097927746,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,0,0,0,1,0,0.410714285714286,0,1,1,0,0,0,1,0,0,0
"89",0,0,0,0.0294117647058824,0,0,0,1,0,0,1,0,0,0,0.0701368809330758,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0.589285714285714,0,1,1,0,0.333333333333333,0,1,0,0,0
"90",0,0,1,0.117647058823529,0,1,0,0,0,0,1,0,0,0,0.479254173645446,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.333333333333333,0,1,0,0.214285714285714,0,1,0,0,0.333333333333333,0,0,1,1,1
"91",0,0,0,0.382352941176471,0,0,0,0,0,0,0,0,1,0,0.808078428164807,0,0,0,1,1,0,0,0,0.333333333333333,0,1,0,0,0,0.666666666666667,0,1,0,0.107142857142857,0,0,1,0,0.666666666666667,0,1,0,0,0
"92",0,0,0,0.25,0,0,0,1,0,0,0,0,0,0,0.192078646349685,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0.821428571428571,0,1,1,0,0.333333333333333,0,1,0,0,0
"93",0,0,1,0.470588235294118,0,0,1,0,0,0,0,0,1,0,0.847716318259967,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.160714285714286,0,1,1,0,0.333333333333333,0,1,0,0,0
"94",1,0,0,0.470588235294118,0,0,1,0,0,0,0,0,1,0,0.669850210114973,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0.196428571428571,1,0,1,0,0.333333333333333,0,0,1,0,1
"95",0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0.438435437529435,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0.333333333333333,1,0,0,0.375,0,1,1,0,0.333333333333333,1,0,0,1,0
"96",0,0,1,0.294117647058824,0,0,0,1,0,1,0,0,0,0,0.631455095316537,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.553571428571429,0,1,1,0,0,0,1,0,0,1
"97",1,0,0,0.205882352941176,0,0,0,1,0,0,0,0,0,0,0.293723549905837,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0.303571428571429,0,0,1,0,0,0,1,0,1,1
"98",0,0,1,0.161764705882353,0,0,0,1,0,0,1,0,0,0,0.393906822734406,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.333333333333333,1,0,0,0.214285714285714,0,1,1,0,0.333333333333333,0,1,0,0,0
"99",1,0,0,0.0735294117647059,1,0,0,0,1,0,0,0,0,0,0.70261424129113,0,0,0,0,0,0,0,1,0.333333333333333,1,0,0,0,0,1,0,0,1,0.982142857142857,0,0,0,1,0,0,0,1,1,1
"100",1,0,0,0.176470588235294,0,0,0,1,0,0,0,0,0,0,0.359902566323419,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0,0,0,0.666666666666667,0,1,0,0.875,0,1,0,1,0.666666666666667,0,0,0,0,1
"101",0,0,0,0.117647058823529,0,1,0,0,0,0,1,0,0,0,0.230646759513043,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.0178571428571429,0,1,1,0,0,0,1,0,0,0
"102",1,0,0,0.294117647058824,0,1,0,0,1,0,0,0,0,0,0.91124884319807,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.333333333333333,0,0,1,0.446428571428571,0,1,0,1,0,0,0,1,0,1
"103",1,0,0,0.205882352941176,0,0,0,0,0,1,0,0,0,0,0.596077251456109,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0.25,0,0,1,0,0.333333333333333,0,1,0,0,1
"104",0,0,1,0.294117647058824,0,1,0,0,0,0,0,0,1,0,0.676843504146053,0,0,1,0,0,1,0,0,0.333333333333333,0,1,0,0,0,0.666666666666667,1,0,0,0.625,0,1,1,0,0.666666666666667,0,0,1,0,1
"107",0,0,1,0.0294117647058824,0,1,0,0,0,0,1,0,0,0,0.49582779423486,0,0,0,0,0,0,1,0,0.333333333333333,0,0,1,0,0,0.333333333333333,0,0,0,0.178571428571429,0,1,0,0,0,0,1,0,0,0
"108",1,0,0,0.602941176470588,0,1,0,0,0,0,1,0,0,0,0.5802829837331,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0.0357142857142857,0,1,0,0,0,0,1,0,0,0
"110",0,0,1,0.0294117647058824,0,0,0,1,0,0,1,0,0,0,0.397638733828062,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.160714285714286,0,1,1,0,0.333333333333333,0,1,0,0,1
"112",1,0,0,0.294117647058824,0,1,0,0,1,0,0,0,0,0,0.558500881498221,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0.303571428571429,0,0,0,1,0,0,1,0,0,1
"113",1,0,0,0.647058823529412,0,1,0,0,0,0,1,0,0,0,0.737184088683119,0,0,0,0,0,1,0,0,0.333333333333333,1,0,0,0,0,0.333333333333333,0,0,0,0.0535714285714286,0,1,1,0,0,0,1,0,0,0
"115",1,0,0,0.205882352941176,0,0,1,0,0,1,0,0,0,0,0.661452445366998,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.666666666666667,0,0,1,0.375,0,1,1,0,0,0,0,1,0,1
"117",0,0,0,0.117647058823529,0,1,0,0,0,0,0,0,0,0,0.358512953597304,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.666666666666667,0,0,0,0.142857142857143,0,1,1,0,0,1,0,0,0,0
"118",0,0,1,0.338235294117647,0,0,1,0,0,0,0,0,1,0,0.702069495564222,0,0,0,0,0,0,1,0,0.666666666666667,0,1,0,0,0,1,0,1,0,0.125,0,1,1,0,0.333333333333333,0,1,0,0,0
"120",0,0,1,0.117647058823529,0,0,0,1,0,0,0,0,0,0,0.415916739033267,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.339285714285714,0,1,1,0,0.333333333333333,1,0,0,1,0
"121",0,0,0,0.382352941176471,0,0,0,1,1,0,0,0,0,0,0.871944350567572,0,0,0,0,0,0,0,1,0.666666666666667,0,1,0,0,0,1,0,0,1,0.339285714285714,0,1,0,1,0.666666666666667,0,0,1,1,1
"122",0,0,1,0.117647058823529,0,0,0,1,0,1,0,0,0,0,0.475913066482511,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0.428571428571429,0,1,1,0,0.666666666666667,0,1,0,0,1
"123",1,0,0,0.117647058823529,0,0,0,1,0,0,0,0,0,1,0.404601163140815,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.666666666666667,1,0,0,0.125,0,1,1,0,0,0,1,0,0,0
"124",0,0,0,0.294117647058824,0,1,0,0,0,0,0,0,1,0,0.760126246931084,0,0,0,0,0,1,0,0,0.333333333333333,0,0,1,0,0,0.333333333333333,0,1,0,0.0357142857142857,1,0,1,0,0,1,0,0,0,0
"125",0,0,1,0.0735294117647059,0,0,0,1,0,0,0,0,0,0,0.498678647479511,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0.517857142857143,0,1,1,0,0.666666666666667,0,1,0,0,1
"126",0,0,1,0.117647058823529,0,1,0,0,1,0,0,0,0,0,0.402797720786851,0,0,1,0,0,0,1,0,0.666666666666667,0,1,0,0,0,0.333333333333333,1,0,0,0.642857142857143,0,1,1,0,0,0,1,0,0,0
"127",0,0,1,0.0735294117647059,0,0,0,1,0,0,1,0,0,0,0.583559080403397,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.333333333333333,0,0,0,0.25,0,1,1,0,0.333333333333333,0,1,0,1,0
"128",0,0,1,0.470588235294118,0,1,0,0,0,0,1,0,0,0,0.634999182182955,0,0,0,1,0,0,0,1,0.333333333333333,1,0,0,0,0,1,0,0,0,0.464285714285714,0,1,1,0,0,1,0,0,0,1
"129",0,0,0,0.338235294117647,0,0,0,0,0,0,0,0,1,0,0.709933976468352,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0,0,0,1,1,0,0,0.553571428571429,1,0,1,0,0.333333333333333,0,1,0,0,1
"130",0,1,0,0.382352941176471,0,0,1,0,0,0,0,0,1,0,0.472645177720958,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0.839285714285714,0,1,1,0,0,0,0,1,0,1
"131",0,0,1,0.470588235294118,0,0,0,1,0,0,1,0,0,0,0.602998798017986,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.333333333333333,0,1,0,0.571428571428571,0,1,1,0,0,0,1,0,0,1
"132",1,0,0,0.0294117647058824,0,0,0,1,0,0,0,1,0,0,0.306020383637048,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.666666666666667,1,0,0,0.357142857142857,0,1,1,0,0.333333333333333,1,0,0,0,0
"135",0,0,0,0.294117647058824,0,1,0,0,0,1,0,0,0,0,0.579514440655674,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0.0892857142857143,0,1,0,0,0,1,0,0,0,0
"136",0,0,0,0.0294117647058824,0,1,0,0,0,0,1,0,0,0,0.548778961281203,0,1,0,0,0,1,0,0,0.333333333333333,0,1,0,0,0,0.666666666666667,0,0,0,0.446428571428571,0,1,0,0,0,0,1,0,1,0
"137",0,0,1,0.0882352941176471,0,1,0,0,0,0,0,0,0,0,0.394589821532453,0,0,0,0,0,1,0,0,0.333333333333333,1,0,0,0,0,1,0,1,0,0.803571428571429,0,1,1,0,0,0,1,0,0,1
